# SignalAssistant session log
# Started at 2025-12-26 02:10:50
2025-12-26 02:10:50 [session] mode=recorded session='20251226-020805 S1F0' path='/home/general/SignalAssistant/sessions/live/20251226-020805 S1F0' duration=9.18 files=6
2025-12-26 02:10:53 [detection] LOW E RAW PITCH: detected=93.93Hz filtered=1 peak=0.00043
2025-12-26 02:10:53 [detection] LOW E RAW PITCH: detected=104.83Hz filtered=1 peak=0.00042
2025-12-26 02:10:53 [detection] LOW E RAW PITCH: detected=96000.00Hz filtered=1 peak=0.00130
2025-12-26 02:10:53 [detection] LOW E RAW PITCH: detected=96000.00Hz filtered=1 peak=0.00112
2025-12-26 02:10:53 [detection] LOW E RAW PITCH: detected=96000.00Hz filtered=1 peak=0.00072
2025-12-26 02:10:53 [detection] LOW E RAW PITCH: detected=96000.00Hz filtered=1 peak=0.00053
2025-12-26 02:10:53 [detection] LOW E RAW PITCH: detected=93.93Hz filtered=1 peak=0.00061
2025-12-26 02:10:53 [detection] LOW E RAW PITCH: detected=93.93Hz filtered=1 peak=0.00060
2025-12-26 02:10:53 [detection] LOW E RAW PITCH: detected=93.93Hz filtered=1 peak=0.00047
2025-12-26 02:10:53 [detection] LOW E RAW PITCH: detected=101.83Hz filtered=1 peak=0.00102
2025-12-26 02:10:53 [detection] LOW E RAW PITCH: detected=104.82Hz filtered=1 peak=0.00093
2025-12-26 02:10:53 [detection] LOW E RAW PITCH: detected=121.50Hz filtered=1 peak=0.00094
2025-12-26 02:10:53 [detection] LOW E RAW PITCH: detected=137.46Hz filtered=1 peak=0.00098
2025-12-26 02:10:53 [detection] LOW E RAW PITCH: detected=96000.00Hz filtered=1 peak=0.00043
2025-12-26 02:10:53 [detection] LOW E RAW PITCH: detected=93.93Hz filtered=1 peak=0.00058
2025-12-26 02:10:53 [detection] LOW E RAW PITCH: detected=93.93Hz filtered=1 peak=0.00037
2025-12-26 02:10:53 [detection] LOW E RAW PITCH: detected=96000.00Hz filtered=1 peak=0.00038
2025-12-26 02:10:53 [detection] LOW E RAW PITCH: detected=93.93Hz filtered=1 peak=0.00044
2025-12-26 02:10:53 [detection] LOW E RAW PITCH: detected=95999.98Hz filtered=1 peak=0.00084
2025-12-26 02:10:53 [detection] LOW E RAW PITCH: detected=95999.98Hz filtered=1 peak=0.00063
2025-12-26 02:10:53 [detection] LOW E RAW PITCH: detected=96000.00Hz filtered=1 peak=0.00040
2025-12-26 02:10:53 [detection] LOW E RAW PITCH: detected=96000.00Hz filtered=1 peak=0.00064
2025-12-26 02:10:53 [detection] LOW E RAW PITCH: detected=93.93Hz filtered=1 peak=0.00026
2025-12-26 02:10:53 [detection] LOW E RAW PITCH: detected=93.93Hz filtered=1 peak=0.00045
2025-12-26 02:10:53 [detection] LOW E RAW PITCH: detected=96000.00Hz filtered=1 peak=0.00082
2025-12-26 02:10:53 [detection] LOW E RAW PITCH: detected=96000.00Hz filtered=1 peak=0.00074
2025-12-26 02:10:53 [detection] LOW E RAW PITCH: detected=96000.00Hz filtered=1 peak=0.00050
2025-12-26 02:10:53 [detection] LOW E RAW PITCH: detected=96000.00Hz filtered=1 peak=0.00124
2025-12-26 02:10:53 [detection] LOW E RAW PITCH: detected=96000.00Hz filtered=1 peak=0.00136
2025-12-26 02:10:53 [detection] LOW E RAW PITCH: detected=95999.98Hz filtered=1 peak=0.00087
2025-12-26 02:10:53 [detection] LOW E RAW PITCH: detected=96000.00Hz filtered=1 peak=0.00110
2025-12-26 02:10:53 [detection] LOW E RAW PITCH: detected=96000.00Hz filtered=1 peak=0.00103
2025-12-26 02:10:53 [detection] LOW E RAW PITCH: detected=93.93Hz filtered=1 peak=0.00100
2025-12-26 02:10:53 [detection] LOW E RAW PITCH: detected=93.93Hz filtered=1 peak=0.00107
2025-12-26 02:10:53 [detection] LOW E RAW PITCH: detected=93.93Hz filtered=1 peak=0.00069
2025-12-26 02:10:53 [detection] LOW E RAW PITCH: detected=93.93Hz filtered=1 peak=0.00106
2025-12-26 02:10:53 [detection] LOW E RAW PITCH: detected=96000.00Hz filtered=1 peak=0.00259
2025-12-26 02:10:53 [detection] LOW E RAW PITCH: detected=95999.98Hz filtered=1 peak=0.00273
2025-12-26 02:10:53 [detection] LOW E RAW PITCH: detected=96000.00Hz filtered=1 peak=0.01391
2025-12-26 02:10:53 [detection] LOW E RAW PITCH: detected=96000.00Hz filtered=1 peak=0.01418
2025-12-26 02:10:53 [detection] LOW E RAW PITCH: detected=96000.00Hz filtered=1 peak=0.00555
2025-12-26 02:10:53 [detection] LOW E RAW PITCH: detected=96000.00Hz filtered=1 peak=0.02132
2025-12-26 02:10:53 [detection] LOW E RAW PITCH: detected=96000.00Hz filtered=1 peak=0.02920
2025-12-26 02:10:53 [detection] LOW E RAW PITCH: detected=96000.00Hz filtered=1 peak=0.52435
2025-12-26 02:10:53 [detection] LOW E RAW PITCH: detected=96000.00Hz filtered=1 peak=0.74441
2025-12-26 02:10:53 [detection] LOW E RAW PITCH: detected=95999.98Hz filtered=1 peak=0.75107
2025-12-26 02:10:53 [detection] LOW E RAW PITCH: detected=95999.98Hz filtered=1 peak=0.43722
2025-12-26 02:10:53 [detection] LOW E REJECT: pitch=-1.00 midi=-1 (no pitch or midi)
2025-12-26 02:10:53 [detection] LOW E RAW PITCH: detected=138.33Hz filtered=1 peak=0.40195
2025-12-26 02:10:53 [detection] LOW E RAW PITCH: detected=122.83Hz filtered=1 peak=0.55843
2025-12-26 02:10:53 [detection] LOW E RAW PITCH: detected=135.13Hz filtered=1 peak=0.51874
2025-12-26 02:10:53 [detection] LOW E RAW PITCH: detected=147.93Hz filtered=1 peak=0.51966
2025-12-26 02:10:53 [detection] LOW E RAW PITCH: detected=172.34Hz filtered=1 peak=0.19313
2025-12-26 02:10:53 [detection] LOW E RAW PITCH: detected=162.30Hz filtered=1 peak=0.60078
2025-12-26 02:10:53 [detection] LOW E RAW PITCH: detected=164.55Hz filtered=1 peak=0.67824
2025-12-26 02:10:53 [detection] LOW E RAW PITCH: detected=93.93Hz filtered=1 peak=0.51768
2025-12-26 02:10:53 [detection] LOW E RAW PITCH: detected=93.93Hz filtered=1 peak=0.39159
2025-12-26 02:10:53 [detection] LOW E RAW PITCH: detected=93.93Hz filtered=1 peak=0.25865
2025-12-26 02:10:53 [detection] LOW E RAW PITCH: detected=93.93Hz filtered=1 peak=0.65008
2025-12-26 02:10:53 [detection] LOW E RAW PITCH: detected=93.93Hz filtered=1 peak=0.50339
2025-12-26 02:10:53 [detection] LOW E RAW PITCH: detected=93.93Hz filtered=1 peak=0.48802
2025-12-26 02:10:53 [detection] LOW E RAW PITCH: detected=93.93Hz filtered=1 peak=0.16832
2025-12-26 02:10:53 [detection] LOW E RAW PITCH: detected=93.93Hz filtered=1 peak=0.46230
2025-12-26 02:10:53 [detection] LOW E RAW PITCH: detected=93.93Hz filtered=1 peak=0.61947
2025-12-26 02:10:53 [detection] LOW E RAW PITCH: detected=93.93Hz filtered=1 peak=0.46636
2025-12-26 02:10:53 [detection] LOW E RAW PITCH: detected=93.93Hz filtered=1 peak=0.39999
2025-12-26 02:10:53 [detection] LOW E RAW PITCH: detected=93.93Hz filtered=1 peak=0.22144
2025-12-26 02:10:53 [detection] LOW E RAW PITCH: detected=93.93Hz filtered=1 peak=0.59125
2025-12-26 02:10:53 [detection] LOW E ONSET: fret=2 pitch=93.93Hz midi=42 stable=1 env=0.4108 onset=1.184
2025-12-26 02:10:53 [detection] LOW E ACCEPTED: detectedHz=93.93 expectedHz=92.50 midi=42(should be 42) fret=2
2025-12-26 02:10:53 [detection]      S1F2 ON (onset=1.184 env=0.4108)
2025-12-26 02:10:53 [detection] LOW E RAW PITCH: detected=93.93Hz filtered=1 peak=0.52225
2025-12-26 02:10:53 [detection] LOW E RAW PITCH: detected=93.93Hz filtered=1 peak=0.44719
2025-12-26 02:10:53 [detection] LOW E RAW PITCH: detected=93.93Hz filtered=1 peak=0.16431
2025-12-26 02:10:53 [detection] LOW E RAW PITCH: detected=93.93Hz filtered=1 peak=0.31476
2025-12-26 02:10:53 [detection] LOW E RAW PITCH: detected=93.93Hz filtered=1 peak=0.56609
2025-12-26 02:10:53 [detection] LOW E RAW PITCH: detected=93.93Hz filtered=1 peak=0.42778
2025-12-26 02:10:53 [detection] LOW E RAW PITCH: detected=93.93Hz filtered=1 peak=0.40062
2025-12-26 02:10:53 [detection] LOW E RAW PITCH: detected=93.93Hz filtered=1 peak=0.16070
2025-12-26 02:10:53 [detection] LOW E RAW PITCH: detected=93.93Hz filtered=1 peak=0.54004
2025-12-26 02:10:53 [detection] LOW E RAW PITCH: detected=93.93Hz filtered=1 peak=0.52084
2025-12-26 02:10:53 [detection] LOW E RAW PITCH: detected=93.93Hz filtered=1 peak=0.40812
2025-12-26 02:10:53 [detection] LOW E RAW PITCH: detected=93.93Hz filtered=1 peak=0.20805
