# SignalAssistant session log
# Started at 2025-12-26 02:15:01
2025-12-26 02:15:01 [session] mode=recorded session='20251226-013301 012' path='/home/general/SignalAssistant/sessions/live/20251226-013301 012' duration=8.39 files=6
2025-12-26 02:15:08 [detection] LOW E RAW PITCH: detected=96000.00Hz filtered=1 peak=0.00025
2025-12-26 02:15:08 [detection] LOW E RAW PITCH: detected=96000.00Hz filtered=1 peak=0.00044
2025-12-26 02:15:08 [detection] LOW E RAW PITCH: detected=96000.00Hz filtered=1 peak=0.00041
2025-12-26 02:15:08 [detection] LOW E RAW PITCH: detected=96000.00Hz filtered=1 peak=0.00027
2025-12-26 02:15:08 [detection] LOW E RAW PITCH: detected=96000.00Hz filtered=1 peak=0.00012
2025-12-26 02:15:08 [detection] LOW E RAW PITCH: detected=96000.00Hz filtered=1 peak=0.00021
2025-12-26 02:15:08 [detection] LOW E RAW PITCH: detected=121.08Hz filtered=1 peak=0.00020
2025-12-26 02:15:08 [detection] LOW E RAW PITCH: detected=136.99Hz filtered=1 peak=0.00035
2025-12-26 02:15:08 [detection] LOW E RAW PITCH: detected=153.85Hz filtered=1 peak=0.00041
2025-12-26 02:15:08 [detection] LOW E RAW PITCH: detected=224.45Hz filtered=1 peak=0.00030
2025-12-26 02:15:08 [detection] LOW E RAW PITCH: detected=93.93Hz filtered=1 peak=0.00027
2025-12-26 02:15:08 [detection] LOW E RAW PITCH: detected=96000.00Hz filtered=1 peak=0.00042
2025-12-26 02:15:08 [detection] LOW E RAW PITCH: detected=96000.00Hz filtered=1 peak=0.00059
2025-12-26 02:15:08 [detection] LOW E RAW PITCH: detected=96000.00Hz filtered=1 peak=0.00031
2025-12-26 02:15:08 [detection] LOW E RAW PITCH: detected=95999.98Hz filtered=1 peak=0.00054
2025-12-26 02:15:08 [detection] LOW E RAW PITCH: detected=96000.00Hz filtered=1 peak=0.00055
2025-12-26 02:15:08 [detection] LOW E RAW PITCH: detected=93.93Hz filtered=1 peak=0.00019
2025-12-26 02:15:08 [detection] LOW E RAW PITCH: detected=96000.00Hz filtered=1 peak=0.00041
2025-12-26 02:15:08 [detection] LOW E RAW PITCH: detected=95999.98Hz filtered=1 peak=0.00050
2025-12-26 02:15:08 [detection] LOW E RAW PITCH: detected=96000.00Hz filtered=1 peak=0.00040
2025-12-26 02:15:08 [detection] LOW E RAW PITCH: detected=96000.00Hz filtered=1 peak=0.00030
2025-12-26 02:15:08 [detection] LOW E RAW PITCH: detected=96000.00Hz filtered=1 peak=0.00007
2025-12-26 02:15:08 [detection] LOW E RAW PITCH: detected=109.68Hz filtered=1 peak=0.00055
2025-12-26 02:15:08 [detection] LOW E RAW PITCH: detected=95999.98Hz filtered=1 peak=0.00057
2025-12-26 02:15:08 [detection] LOW E RAW PITCH: detected=95999.98Hz filtered=1 peak=0.00028
2025-12-26 02:15:08 [detection] LOW E RAW PITCH: detected=96000.00Hz filtered=1 peak=0.00026
2025-12-26 02:15:08 [detection] LOW E RAW PITCH: detected=96000.00Hz filtered=1 peak=0.00021
2025-12-26 02:15:08 [detection] LOW E RAW PITCH: detected=93.93Hz filtered=1 peak=0.00023
2025-12-26 02:15:08 [detection] LOW E RAW PITCH: detected=96000.00Hz filtered=1 peak=0.00036
2025-12-26 02:15:08 [detection] LOW E RAW PITCH: detected=96000.00Hz filtered=1 peak=0.00045
2025-12-26 02:15:08 [detection] LOW E RAW PITCH: detected=96000.00Hz filtered=1 peak=0.00019
2025-12-26 02:15:08 [detection] LOW E RAW PITCH: detected=96000.00Hz filtered=1 peak=0.00040
2025-12-26 02:15:08 [detection] LOW E RAW PITCH: detected=96000.00Hz filtered=1 peak=0.00054
2025-12-26 02:15:08 [detection] LOW E RAW PITCH: detected=95999.98Hz filtered=1 peak=0.00028
2025-12-26 02:15:08 [detection] LOW E RAW PITCH: detected=93.93Hz filtered=1 peak=0.00030
2025-12-26 02:15:08 [detection] LOW E RAW PITCH: detected=96000.00Hz filtered=1 peak=0.00029
2025-12-26 02:15:08 [detection] LOW E RAW PITCH: detected=93.93Hz filtered=1 peak=0.00025
2025-12-26 02:15:08 [detection] LOW E RAW PITCH: detected=128.78Hz filtered=1 peak=0.00009
2025-12-26 02:15:08 [detection] LOW E RAW PITCH: detected=143.11Hz filtered=1 peak=0.00034
2025-12-26 02:15:08 [detection] LOW E RAW PITCH: detected=159.61Hz filtered=1 peak=0.00032
2025-12-26 02:15:08 [detection] LOW E RAW PITCH: detected=93.93Hz filtered=1 peak=0.00033
2025-12-26 02:15:08 [detection] LOW E RAW PITCH: detected=93.93Hz filtered=1 peak=0.00010
2025-12-26 02:15:08 [detection] LOW E RAW PITCH: detected=93.93Hz filtered=1 peak=0.00031
2025-12-26 02:15:08 [detection] LOW E RAW PITCH: detected=96000.00Hz filtered=1 peak=0.00030
2025-12-26 02:15:08 [detection] LOW E RAW PITCH: detected=150.99Hz filtered=1 peak=0.00019
2025-12-26 02:15:08 [detection] LOW E RAW PITCH: detected=150.17Hz filtered=1 peak=0.00033
2025-12-26 02:15:08 [detection] LOW E RAW PITCH: detected=166.61Hz filtered=1 peak=0.00018
2025-12-26 02:15:08 [detection] LOW E RAW PITCH: detected=96000.00Hz filtered=1 peak=0.00020
2025-12-26 02:15:08 [detection] LOW E RAW PITCH: detected=95.74Hz filtered=1 peak=0.00027
2025-12-26 02:15:08 [detection] LOW E RAW PITCH: detected=94.62Hz filtered=1 peak=0.00017
2025-12-26 02:15:08 [detection] LOW E RAW PITCH: detected=96000.00Hz filtered=1 peak=0.00064
2025-12-26 02:15:08 [detection] LOW E RAW PITCH: detected=96000.00Hz filtered=1 peak=0.00075
2025-12-26 02:15:08 [detection] LOW E RAW PITCH: detected=96000.00Hz filtered=1 peak=0.00028
2025-12-26 02:15:08 [detection] LOW E RAW PITCH: detected=96000.00Hz filtered=1 peak=0.00062
2025-12-26 02:15:08 [detection] LOW E RAW PITCH: detected=96000.00Hz filtered=1 peak=0.00062
2025-12-26 02:15:08 [detection] LOW E RAW PITCH: detected=93.93Hz filtered=1 peak=0.00042
2025-12-26 02:15:08 [detection] LOW E RAW PITCH: detected=93.93Hz filtered=1 peak=0.00018
2025-12-26 02:15:08 [detection] LOW E RAW PITCH: detected=93.93Hz filtered=1 peak=0.00009
2025-12-26 02:15:08 [detection] LOW E RAW PITCH: detected=94.45Hz filtered=1 peak=0.00011
2025-12-26 02:15:08 [detection] LOW E RAW PITCH: detected=98.78Hz filtered=1 peak=0.00012
2025-12-26 02:15:08 [detection] LOW E RAW PITCH: detected=124.31Hz filtered=1 peak=0.00042
2025-12-26 02:15:08 [detection] LOW E RAW PITCH: detected=168.24Hz filtered=1 peak=0.00034
2025-12-26 02:15:08 [detection] LOW E RAW PITCH: detected=96000.00Hz filtered=1 peak=0.00023
2025-12-26 02:15:08 [detection] LOW E RAW PITCH: detected=96000.00Hz filtered=1 peak=0.00048
2025-12-26 02:15:08 [detection] LOW E RAW PITCH: detected=96000.00Hz filtered=1 peak=0.00050
2025-12-26 02:15:08 [detection] LOW E RAW PITCH: detected=96000.00Hz filtered=1 peak=0.00039
2025-12-26 02:15:08 [detection] LOW E RAW PITCH: detected=96000.00Hz filtered=1 peak=0.00045
2025-12-26 02:15:08 [detection] LOW E RAW PITCH: detected=96000.00Hz filtered=1 peak=0.00028
2025-12-26 02:15:08 [detection] LOW E RAW PITCH: detected=93.93Hz filtered=1 peak=0.00037
2025-12-26 02:15:08 [detection] LOW E RAW PITCH: detected=93.93Hz filtered=1 peak=0.00036
2025-12-26 02:15:08 [detection] LOW E RAW PITCH: detected=93.93Hz filtered=1 peak=0.00032
2025-12-26 02:15:08 [detection] LOW E RAW PITCH: detected=93.93Hz filtered=1 peak=0.00060
2025-12-26 02:15:08 [detection] LOW E RAW PITCH: detected=96000.00Hz filtered=1 peak=0.00041
2025-12-26 02:15:08 [detection] LOW E RAW PITCH: detected=96000.00Hz filtered=1 peak=0.00041
2025-12-26 02:15:08 [detection] LOW E RAW PITCH: detected=96000.00Hz filtered=1 peak=0.00019
2025-12-26 02:15:08 [detection] LOW E RAW PITCH: detected=96000.00Hz filtered=1 peak=0.00045
2025-12-26 02:15:08 [detection] LOW E RAW PITCH: detected=96000.00Hz filtered=1 peak=0.00044
2025-12-26 02:15:08 [detection] LOW E RAW PITCH: detected=96000.00Hz filtered=1 peak=0.00042
2025-12-26 02:15:08 [detection] LOW E RAW PITCH: detected=96000.00Hz filtered=1 peak=0.00114
2025-12-26 02:15:08 [detection] LOW E RAW PITCH: detected=95999.98Hz filtered=1 peak=0.00477
2025-12-26 02:15:08 [detection] LOW E RAW PITCH: detected=96000.00Hz filtered=1 peak=0.00662
2025-12-26 02:15:08 [detection] LOW E RAW PITCH: detected=96000.00Hz filtered=1 peak=0.00981
2025-12-26 02:15:08 [detection] LOW E RAW PITCH: detected=96000.00Hz filtered=1 peak=0.03694
2025-12-26 02:15:08 [detection] LOW E RAW PITCH: detected=95999.98Hz filtered=1 peak=0.04402
2025-12-26 02:15:08 [detection] LOW E REJECT: pitch=-1.00 midi=-1 (no pitch or midi)
2025-12-26 02:15:08 [detection] LOW E RAW PITCH: detected=95999.98Hz filtered=1 peak=0.01436
2025-12-26 02:15:08 [detection] LOW E RAW PITCH: detected=96000.00Hz filtered=1 peak=0.01243
2025-12-26 02:15:08 [detection] LOW E RAW PITCH: detected=96000.00Hz filtered=1 peak=0.02327
2025-12-26 02:15:08 [detection] LOW E RAW PITCH: detected=93.93Hz filtered=1 peak=0.02063
2025-12-26 02:15:08 [detection] LOW E RAW PITCH: detected=95999.98Hz filtered=1 peak=0.16227
2025-12-26 02:15:08 [detection] LOW E RAW PITCH: detected=95999.98Hz filtered=1 peak=0.18317
2025-12-26 02:15:08 [detection] LOW E RAW PITCH: detected=95999.98Hz filtered=1 peak=0.17431
2025-12-26 02:15:08 [detection] LOW E RAW PITCH: detected=96000.00Hz filtered=1 peak=0.06320
2025-12-26 02:15:08 [detection] LOW E RAW PITCH: detected=96000.00Hz filtered=1 peak=0.05583
2025-12-26 02:15:08 [detection] LOW E RAW PITCH: detected=112.05Hz filtered=1 peak=0.18303
2025-12-26 02:15:08 [detection] LOW E RAW PITCH: detected=142.08Hz filtered=1 peak=0.17144
2025-12-26 02:15:08 [detection] LOW E RAW PITCH: detected=139.89Hz filtered=1 peak=0.07208
2025-12-26 02:15:08 [detection] LOW E RAW PITCH: detected=154.50Hz filtered=1 peak=0.03222
2025-12-26 02:15:08 [detection] LOW E RAW PITCH: detected=154.39Hz filtered=1 peak=0.12487
2025-12-26 02:15:08 [detection] LOW E RAW PITCH: detected=172.18Hz filtered=1 peak=0.18481
2025-12-26 02:15:08 [detection] LOW E RAW PITCH: detected=174.24Hz filtered=1 peak=0.07694
2025-12-26 02:15:08 [detection] LOW E RAW PITCH: detected=93.93Hz filtered=1 peak=0.07257
2025-12-26 02:15:08 [detection] LOW E RAW PITCH: detected=93.93Hz filtered=1 peak=0.02903
2025-12-26 02:15:08 [detection] LOW E RAW PITCH: detected=93.93Hz filtered=1 peak=0.17988
2025-12-26 02:15:08 [detection] LOW E RAW PITCH: detected=140.75Hz filtered=1 peak=0.17954
2025-12-26 02:15:08 [detection] LOW E RAW PITCH: detected=199.31Hz filtered=1 peak=0.07265
2025-12-26 02:15:08 [detection] LOW E RAW PITCH: detected=93.93Hz filtered=1 peak=0.04198
2025-12-26 02:15:08 [detection] LOW E RAW PITCH: detected=93.93Hz filtered=1 peak=0.11038
2025-12-26 02:15:08 [detection] LOW E RAW PITCH: detected=117.09Hz filtered=1 peak=0.17199
2025-12-26 02:15:08 [detection] LOW E REJECT: pitch unstable (117.09Hz midi=49)
2025-12-26 02:15:08 [detection] LOW E RAW PITCH: detected=163.80Hz filtered=1 peak=0.06884
2025-12-26 02:15:08 [detection] LOW E RAW PITCH: detected=93.93Hz filtered=1 peak=0.06833
2025-12-26 02:15:08 [detection] LOW E RAW PITCH: detected=93.93Hz filtered=1 peak=0.01509
2025-12-26 02:15:08 [detection] LOW E RAW PITCH: detected=93.93Hz filtered=1 peak=0.15660
2025-12-26 02:15:08 [detection] LOW E RAW PITCH: detected=135.07Hz filtered=1 peak=0.16390
2025-12-26 02:15:08 [detection] LOW E RAW PITCH: detected=193.87Hz filtered=1 peak=0.06508
2025-12-26 02:15:08 [detection] LOW E RAW PITCH: detected=93.93Hz filtered=1 peak=0.04770
2025-12-26 02:15:08 [detection] LOW E RAW PITCH: detected=93.93Hz filtered=1 peak=0.09953
2025-12-26 02:15:08 [detection] LOW E RAW PITCH: detected=112.82Hz filtered=1 peak=0.15782
2025-12-26 02:15:08 [detection] LOW E RAW PITCH: detected=157.41Hz filtered=1 peak=0.09246
2025-12-26 02:15:08 [detection] LOW E RAW PITCH: detected=93.93Hz filtered=1 peak=0.06110
2025-12-26 02:15:08 [detection] LOW E RAW PITCH: detected=93.93Hz filtered=1 peak=0.02333
2025-12-26 02:15:08 [detection] LOW E RAW PITCH: detected=93.93Hz filtered=1 peak=0.11710
2025-12-26 02:15:08 [detection] LOW E RAW PITCH: detected=129.49Hz filtered=1 peak=0.15130
2025-12-26 02:15:08 [detection] LOW E RAW PITCH: detected=188.05Hz filtered=1 peak=0.05761
2025-12-26 02:15:08 [detection] LOW E RAW PITCH: detected=93.93Hz filtered=1 peak=0.05004
2025-12-26 02:15:08 [detection] LOW E RAW PITCH: detected=93.93Hz filtered=1 peak=0.08357
2025-12-26 02:15:08 [detection] LOW E RAW PITCH: detected=93.93Hz filtered=1 peak=0.14560
2025-12-26 02:15:08 [detection] LOW E RAW PITCH: detected=150.29Hz filtered=1 peak=0.11172
2025-12-26 02:15:08 [detection] LOW E RAW PITCH: detected=93.93Hz filtered=1 peak=0.05454
2025-12-26 02:15:08 [detection] LOW E RAW PITCH: detected=93.93Hz filtered=1 peak=0.03179
2025-12-26 02:15:08 [detection] LOW E RAW PITCH: detected=93.93Hz filtered=1 peak=0.08686
2025-12-26 02:15:08 [detection] LOW E RAW PITCH: detected=124.29Hz filtered=1 peak=0.14039
2025-12-26 02:15:08 [detection] LOW E RAW PITCH: detected=180.84Hz filtered=1 peak=0.05169
2025-12-26 02:15:08 [detection] LOW E RAW PITCH: detected=93.93Hz filtered=1 peak=0.04987
